PlayerName,Foot,Position,AWR,DWR,OVR,PAC,SHO,PAS,DRI,DEF,PHY,SM,DIV,POS,HAN,REF,KIC,SPD
Pelé,Right,CAM,High,Med,98,95,96,93,96,60,76,5,NA,NA,NA,NA,NA,NA
Diego Maradona,Left,CAM,High,Med,97,92,93,92,97,40,76,5,NA,NA,NA,NA,NA,NA
Ronaldo,Right,ST,Med,Med,96,97,95,81,95,45,76,5,NA,NA,NA,NA,NA,NA
Zinedine Zidane,Right,CAM,Med,Med,96,85,92,96,95,75,86,5,NA,NA,NA,NA,NA,NA
Diego Maradona,Left,CAM,High,Med,95,88,91,90,95,42,75,5,NA,NA,NA,NA,NA,NA
Pelé,Right,CF,High,Med,95,96,93,90,95,56,75,5,NA,NA,NA,NA,NA,NA
Ferenc Puskás,Left,CF,High,Med,94,91,96,91,92,46,76,4,NA,NA,NA,NA,NA,NA
Johan Cruyff,Right,CF,High,Low,94,91,92,91,94,42,73,5,NA,NA,NA,NA,NA,NA
Mané Garrincha,Right,RW,Med,Low,94,90,87,94,96,41,68,5,NA,NA,NA,NA,NA,NA
Paolo Maldini,Right,CB,Med,High,94,86,56,75,69,96,83,2,NA,NA,NA,NA,NA,NA
Ronaldinho,Right,LW,High,Low,94,92,90,91,95,37,81,5,NA,NA,NA,NA,NA,NA
Ronaldo,Right,ST,Med,Low,94,93,93,80,93,46,80,5,NA,NA,NA,NA,NA,NA
Zinedine Zidane,Right,CAM,Med,Med,94,82,90,93,92,72,83,5,NA,NA,NA,NA,NA,NA
Carlos Alberto Torres,Right,RB,High,Med,93,90,66,81,86,90,87,3,NA,NA,NA,NA,NA,NA
Éric Cantona,Right,CF,High,Med,93,89,93,90,93,53,92,5,NA,NA,NA,NA,NA,NA
Eusébio,Right,CF,High,Med,93,94,94,86,93,45,79,4,NA,NA,NA,NA,NA,NA
Franco Baresi,Right,CB,Med,High,93,70,49,76,72,95,82,2,NA,NA,NA,NA,NA,NA
George Best,Right,RW,Med,Med,93,93,91,84,94,58,71,4,NA,NA,NA,NA,NA,NA
Lothar Matthäus,Right,CM,High,High,93,89,89,90,82,90,85,3,NA,NA,NA,NA,NA,NA
Marco van Basten,Right,ST,Med,Med,93,83,94,76,89,39,75,3,NA,NA,NA,NA,NA,NA
Roberto Baggio,Right,CAM,Med,Low,93,86,84,92,92,40,61,5,NA,NA,NA,NA,NA,NA
Ruud Gullit,Right,CF,High,Med,93,86,91,91,89,82,90,4,NA,NA,NA,NA,NA,NA
Thierry Henry,Right,ST,Med,Med,93,94,91,83,90,53,80,4,NA,NA,NA,NA,NA,NA
Xavier Hernández,Right,CM,High,High,93,81,80,95,93,72,72,4,NA,NA,NA,NA,NA,NA
Marcos Cafú,Right,RWB,NA,NA,93,92,58,85,88,91,86,0,NA,NA,NA,NA,NA,NA
Lionel Messi,Left,RW,Med,Low,93,85,92,91,95,34,65,4,NA,NA,NA,NA,NA,NA
Lionel Messi,Left,RW,Med,Low,93,85,92,91,95,34,65,4,NA,NA,NA,NA,NA,NA
Alessandro Del Piero,Right,CF,Med,Med,92,83,92,89,92,43,67,4,NA,NA,NA,NA,NA,NA
Alessandro Nesta,Right,CB,Med,High,92,72,42,65,67,94,86,2,NA,NA,NA,NA,NA,NA
Andrea Pirlo,Right,CM,Med,Med,92,73,80,95,91,71,67,5,NA,NA,NA,NA,NA,NA
Bobby Moore,Right,CB,Med,Med,92,68,64,83,78,93,85,2,NA,NA,NA,NA,NA,NA
Carles Puyol Saforcada,Right,CB,Med,High,92,70,45,68,58,94,90,2,NA,NA,NA,NA,NA,NA
David Beckham,Right,RM,High,High,92,80,87,95,88,69,82,3,NA,NA,NA,NA,NA,NA
Dennis Bergkamp,Right,CF,Med,Med,92,84,91,86,90,37,78,4,NA,NA,NA,NA,NA,NA
Emilio Butragueño,Right,ST,Med,Low,92,94,90,80,92,41,68,3,NA,NA,NA,NA,NA,NA
Fabio Cannavaro,Right,CB,Low,High,92,80,43,63,68,95,85,2,NA,NA,NA,NA,NA,NA
Ferenc Puskás,Left,ST,High,Med,92,89,95,90,91,47,77,4,NA,NA,NA,NA,NA,NA
Gary Lineker,Right,ST,High,Low,92,88,91,73,86,36,76,3,NA,NA,NA,NA,NA,NA
Hristo Stoichkov,Left,ST,Med,Med,92,92,93,86,92,50,86,4,NA,NA,NA,NA,NA,NA
Hugo Sánchez,Left,ST,High,Med,92,92,93,81,90,44,75,3,NA,NA,NA,NA,NA,NA
